Destino del gasto;Indicador;Naturaleza económica del gasto;periodo;Total
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);1.2. Gastos corrientes en bienes y servicios;2010;581
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);1.3. Gastos financieros;2023;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);1.3. Gastos financieros;2022;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);1.3. Gastos financieros;2021;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);1.3. Gastos financieros;2020;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);1.3. Gastos financieros;2019;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);1.3. Gastos financieros;2018;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);1.3. Gastos financieros;2017;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);1.3. Gastos financieros;2016;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);1.3. Gastos financieros;2015;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);1.3. Gastos financieros;2014;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);1.3. Gastos financieros;2013;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);1.3. Gastos financieros;2012;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);1.3. Gastos financieros;2011;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);1.3. Gastos financieros;2010;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2023;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2022;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2021;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2020;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2019;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2018;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2017;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2016;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2015;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2014;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2013;826
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2012;1.163
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2011;2.628
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2010;2.644
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2023;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2022;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2021;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2020;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2019;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2018;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2017;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2016;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2015;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2014;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2013;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2012;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2011;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2010;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);2.1. Inversiones reales;2023;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);2.1. Inversiones reales;2022;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);2.1. Inversiones reales;2021;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);2.1. Inversiones reales;2020;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);2.1. Inversiones reales;2019;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);2.1. Inversiones reales;2018;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);2.1. Inversiones reales;2017;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);2.1. Inversiones reales;2016;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);2.1. Inversiones reales;2015;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);2.1. Inversiones reales;2014;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);2.1. Inversiones reales;2013;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);2.1. Inversiones reales;2012;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);2.1. Inversiones reales;2011;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);2.1. Inversiones reales;2010;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2023;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2022;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2021;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2020;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2019;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2018;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2017;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2016;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2015;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2014;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2013;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2012;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2011;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2010;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2023;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2022;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2021;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2020;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2019;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2018;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2017;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2016;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2015;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2014;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2013;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2012;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2011;0
Cooperación, promoción y difusión en en el exterior;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2010;0
Cooperación, promoción y difusión en en el exterior;Porcentaje;TOTAL;2023;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;TOTAL;2022;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;TOTAL;2021;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;TOTAL;2020;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;TOTAL;2019;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;TOTAL;2018;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;TOTAL;2017;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;TOTAL;2016;0,1
Cooperación, promoción y difusión en en el exterior;Porcentaje;TOTAL;2015;0,1
Cooperación, promoción y difusión en en el exterior;Porcentaje;TOTAL;2014;0,1
Cooperación, promoción y difusión en en el exterior;Porcentaje;TOTAL;2013;0,7
Cooperación, promoción y difusión en en el exterior;Porcentaje;TOTAL;2012;0,9
Cooperación, promoción y difusión en en el exterior;Porcentaje;TOTAL;2011;2,1
Cooperación, promoción y difusión en en el exterior;Porcentaje;TOTAL;2010;1,9
Cooperación, promoción y difusión en en el exterior;Porcentaje;1. GASTOS CORRIENTES;2023;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;1. GASTOS CORRIENTES;2022;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;1. GASTOS CORRIENTES;2021;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;1. GASTOS CORRIENTES;2020;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;1. GASTOS CORRIENTES;2019;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;1. GASTOS CORRIENTES;2018;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;1. GASTOS CORRIENTES;2017;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;1. GASTOS CORRIENTES;2016;0,1
Cooperación, promoción y difusión en en el exterior;Porcentaje;1. GASTOS CORRIENTES;2015;0,1
Cooperación, promoción y difusión en en el exterior;Porcentaje;1. GASTOS CORRIENTES;2014;0,1
Cooperación, promoción y difusión en en el exterior;Porcentaje;1. GASTOS CORRIENTES;2013;0,7
Cooperación, promoción y difusión en en el exterior;Porcentaje;1. GASTOS CORRIENTES;2012;1,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;1. GASTOS CORRIENTES;2011;2,7
Cooperación, promoción y difusión en en el exterior;Porcentaje;1. GASTOS CORRIENTES;2010;2,5
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.1. Gastos de personal;2023;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.1. Gastos de personal;2022;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.1. Gastos de personal;2021;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.1. Gastos de personal;2020;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.1. Gastos de personal;2019;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.1. Gastos de personal;2018;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.1. Gastos de personal;2017;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.1. Gastos de personal;2016;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.1. Gastos de personal;2015;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.1. Gastos de personal;2014;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.1. Gastos de personal;2013;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.1. Gastos de personal;2012;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.1. Gastos de personal;2011;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.1. Gastos de personal;2010;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2023;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2022;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2021;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2020;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2019;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2018;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2017;0,4
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2016;0,6
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2015;0,6
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2014;0,7
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2013;1,2
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2012;2,4
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2011;3,1
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2010;2,8
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.3. Gastos financieros;2023;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.3. Gastos financieros;2022;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.3. Gastos financieros;2021;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.3. Gastos financieros;2020;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.3. Gastos financieros;2019;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.3. Gastos financieros;2018;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.3. Gastos financieros;2017;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.3. Gastos financieros;2016;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.3. Gastos financieros;2015;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.3. Gastos financieros;2014;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.3. Gastos financieros;2013;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.3. Gastos financieros;2012;..
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.3. Gastos financieros;2011;..
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.3. Gastos financieros;2010;..
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.4. Transferencias corrientes;2023;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.4. Transferencias corrientes;2022;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.4. Transferencias corrientes;2021;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.4. Transferencias corrientes;2020;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.4. Transferencias corrientes;2019;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.4. Transferencias corrientes;2018;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.4. Transferencias corrientes;2017;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.4. Transferencias corrientes;2016;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.4. Transferencias corrientes;2015;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.4. Transferencias corrientes;2014;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.4. Transferencias corrientes;2013;0,7
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.4. Transferencias corrientes;2012;0,9
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.4. Transferencias corrientes;2011;3,1
Cooperación, promoción y difusión en en el exterior;Porcentaje;1.4. Transferencias corrientes;2010;2,8
Cooperación, promoción y difusión en en el exterior;Porcentaje;2. GASTOS DE CAPITAL;2023;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;2. GASTOS DE CAPITAL;2022;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;2. GASTOS DE CAPITAL;2021;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;2. GASTOS DE CAPITAL;2020;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;2. GASTOS DE CAPITAL;2019;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;2. GASTOS DE CAPITAL;2018;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;2. GASTOS DE CAPITAL;2017;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;2. GASTOS DE CAPITAL;2016;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;2. GASTOS DE CAPITAL;2015;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;2. GASTOS DE CAPITAL;2014;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;2. GASTOS DE CAPITAL;2013;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;2. GASTOS DE CAPITAL;2012;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;2. GASTOS DE CAPITAL;2011;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;2. GASTOS DE CAPITAL;2010;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;2.1. Inversiones reales;2023;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;2.1. Inversiones reales;2022;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;2.1. Inversiones reales;2021;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;2.1. Inversiones reales;2020;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;2.1. Inversiones reales;2019;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;2.1. Inversiones reales;2018;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;2.1. Inversiones reales;2017;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;2.1. Inversiones reales;2016;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;2.1. Inversiones reales;2015;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;2.1. Inversiones reales;2014;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;2.1. Inversiones reales;2013;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;2.1. Inversiones reales;2012;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;2.1. Inversiones reales;2011;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;2.1. Inversiones reales;2010;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;2.2. Transferencias de capital;2023;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;2.2. Transferencias de capital;2022;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;2.2. Transferencias de capital;2021;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;2.2. Transferencias de capital;2020;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;2.2. Transferencias de capital;2019;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;2.2. Transferencias de capital;2018;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;2.2. Transferencias de capital;2017;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;2.2. Transferencias de capital;2016;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;2.2. Transferencias de capital;2015;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;2.2. Transferencias de capital;2014;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;2.2. Transferencias de capital;2013;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;2.2. Transferencias de capital;2012;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;2.2. Transferencias de capital;2011;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;2.2. Transferencias de capital;2010;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2023;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2022;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2021;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2020;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2019;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2018;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2017;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2016;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2015;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2014;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2013;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2012;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2011;0,0
Cooperación, promoción y difusión en en el exterior;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2010;0,0
